KTX역,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19
대전 서대전역,93.063,93.379,93.637,93.663,94.014,94.103,94.624,95.204,96.078,96.113,96.184,96.653,97.205,97.479,97.657,97.658,97.872,98.196,98.459,98.65,98.836,99.057,99.476,99.7,100,100.297,100.214,100.427,100.531,100.712,101.299,101.683,102.015,102.318,102.598,102.888,103.134,103.338,103.541,103.76,103.934,104.139,104.368,104.639,104.882,104.944,105.306,105.42,105.652,105.81,105.991,106.046,106.226,106.65,106.939,107.372,107.55
경기 수원역,98.309,98.439,98.332,98.615,98.668,98.712,98.782,98.849,98.756,98.875,98.838,98.862,98.761,98.812,98.853,98.84,98.903,98.966,98.983,99.146,99.419,99.595,99.695,99.705,100,100.083,100.202,100.579,100.835,101.061,101.649,101.922,102.256,102.455,102.573,102.824,103.249,103.446,103.732,104.002,104.435,104.648,104.913,105.379,105.868,106.196,106.593,106.811,107.103,107.408,108.054,108.489,108.642,109.072,109.324,109.652,110.107
경기 광명역,96.837,97.334,97.797,97.856,97.53,97.337,97.821,97.938,98.055,98.055,98.214,98.428,98.428,98.851,99.049,99.049,99.267,99.14,99.28,99.349,99.436,99.436,99.689,99.689,100,100,100.296,100.296,100.464,100.62,100.62,100.62,100.924,100.924,100.924,100.908,100.908,101.213,101.213,101.426,102,102.018,102.157,102.186,102.404,102.829,102.94,103.648,103.839,104.498,104.76,104.972,106.036,106.568,106.568,107.203,107.59
경기 행신역,98.19,98.113,98.071,98.071,98.394,98.394,98.418,98.418,98.418,98.473,98.518,98.676,98.806,98.865,98.925,98.925,98.925,99.107,99.107,99.107,99.206,99.206,99.731,99.84,100,100.188,100.108,100.124,100.58,101.049,101.849,102.559,102.556,102.608,102.827,103.001,103.481,103.808,103.869,104.164,104.797,104.797,104.973,106.176,107.191,107.468,107.827,107.9,108.67,109.131,109.5,110.072,110.072,110.507,110.928,111.595,111.797
경기 양평역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.069,105.39,105.731,106.264,106.402,106.826,107.375,107.825,108.126,108.462,108.755,109.082,109.404,109.794,110.318,110.578,110.951,111.227,111.549
강원 강릉역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107.322,107.515,108.129,108.592,108.768,108.845,109.084,109.257,109.287,109.523,109.704,109.95,110.218,110.344,110.578,110.835,110.918,111.175,111.32
강원 둔내역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.672,103.863,104.324,104.685,104.785,105.255,105.828,105.828,106.163,105.799,105.799,105.799,106.434,106.517,106.774,107.079,107.217,107.433,107.702
강원 진부역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.326,104.326,105.269,105.641,105.641,105.729,105.729,105.729,106.322,105.948,106.338,106.587,106.587,106.587,107.247,107.75,108.194,108.568,108.812
강원 평창역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108.25,108.25,108.554,108.554,108.91,109.378,109.378,109.378,109.378,109.938,109.938,109.634,109.634,109.634,109.634,110.248,110.546,110.546,110.546
강원 횡성역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112.984,113.181,113.181,113.619,113.82,114.107,113.45,113.098,113.098,113.098,113.852,113.986,114.384,114.566,114.811,115.161,115.892,115.985,116.311
충북 오송역,94.065,93.715,93.877,94.557,95.055,94.788,95.264,95.581,96.389,96.083,96.34,96.94,96.94,96.94,97.025,97.18,97.18,97.225,97.388,97.568,97.73,98.468,99.324,99.815,100,100.153,100.226,99.968,100.988,101.482,102.83,103.94,105.033,105.194,105.547,105.257,105.792,105.792,105.857,105.881,106.251,106.328,106.829,107.303,108.37,109.601,109.601,110.676,112.672,112.672,112.672,112.672,112.78,113.355,114.313,114.313,112.402
충남 천안아산역,97.944,97.729,97.719,97.801,98.039,97.982,97.945,98.091,98.265,98.39,98.429,98.509,98.586,98.676,98.441,98.608,99.088,99.287,99.142,99.504,99.839,99.8,99.907,99.782,100,100.198,100.198,100.206,100.429,100.571,100.647,100.917,101.601,102.189,102.824,103.405,104.192,104.323,105.719,105.895,106.65,107.069,107.168,107.761,107.867,108.078,108.284,108.367,108.511,108.523,108.62,108.757,109.009,109.047,109.459,109.445,109.736
충남 논산역,95.546,95.546,96.006,96.149,96.284,96.559,96.786,96.942,96.834,96.834,96.843,97.292,97.461,97.585,97.614,97.808,98.061,98.65,98.414,98.409,98.828,99.02,99.085,99.73,100,100.051,100.102,99.852,100.452,100.704,100.872,101.107,100.905,100.988,100.951,100.872,101.178,101.259,101.855,102.031,102.307,102.448,102.833,102.892,103.146,103.261,103.32,103.564,103.894,104.099,104.147,104.305,104.366,104.474,104.638,104.965,105.117
충남 계룡역,98.148,98.148,98.185,98.219,98.345,98.563,98.702,98.732,99.179,98.949,99.041,99.082,98.922,98.928,99.108,99.281,99.314,99.351,99.397,99.293,98.907,98.789,98.839,99.232,100,100.315,100.646,100.992,101.099,101.099,101.295,101.338,101.664,101.898,102.205,102.408,102.939,103.231,103.3,103.533,103.543,104.273,104.551,105.043,105.51,105.588,105.78,106.317,106.377,106.565,106.565,106.584,106.728,106.908,107.288,107.384,107.517
전북 전주역,96.262,96.262,96.295,96.295,96.643,96.643,96.686,96.691,96.691,96.713,96.713,97.318,97.459,98.136,98.323,98.323,98.413,98.523,98.756,99.067,99.342,99.508,99.848,99.941,100,100.057,100.46,100.608,100.515,100.389,100.903,101.123,101.334,101.572,101.892,102.087,102.345,102.619,102.898,103.033,103.39,103.589,103.87,104.535,104.952,105.205,105.489,105.701,106.084,105.851,106.239,106.52,106.954,107.162,107.266,107.494,107.873
전북 익산역,97.159,97.224,97.243,97.351,97.384,97.416,97.483,97.607,97.647,97.739,97.767,97.896,98.043,98.137,99.217,99.228,99.37,99.476,99.491,99.579,99.502,99.467,99.594,99.712,100,100.148,100.2,100.241,100.38,100.502,100.784,101.144,101.529,101.98,102.358,102.698,103.03,103.374,103.731,104.026,104.395,104.598,104.893,105.123,105.311,105.547,105.758,106.109,106.358,106.652,106.958,107.173,107.483,107.747,108.001,108.159,108.466
