번호,한글,영어,한자(번체),주소
150,선평,Seonpyeong,仙 坪,강원도 정선군 남면 낙동3리 2반 372-4
151,성산,Seongsan,星 山,전남 순천시 해룡면 남가리68-2
152,성주사,Seongjusa,聖住寺,경남 창원시 성상구 성주로 1
153,세천,Secheon,細 川,대전 동구 세천동
154,소이,Soi,蘇伊,충북 음성군 소이면 대장리 88
155,송추,Songchu,松 湫,경기도 양주군 장흥면 부곡리
156,수색,Susaek,水 色,서울시 은평구 수색동 380
157,수원,Suwon,水 原,경기도 수원시 팔달구 덕영대로 924
158,순천,Suncheon,順 天,전남 순천시 팔마로 135
159,승부,Seungbu,承 富,경북 봉화군 석포면 승부길 1162-5
160,신거,Singeo,新 巨,경북 청도군 청도읍 새마을1길 32
161,신경주,singyeongju,新慶州,경북 경주시 건천읍 신경주역로 80
162,신기,Singi,新 基,강원 삼척시 신기면 신기역길 89
163,신녕,Sinnyeong,新寧,경북 영천시 신녕면 장수로 1587
164,신리,Sin-ri,新 里,전북 완주군 상관면 신리 578
165,신림,Sillim,神 林,강원 원주시 신림면 용암리 590
166,신망리,Sinmang-ri,新望里,경기 연천군 연천읍 연신로483번길 1
167,신성,Sinseong,新 城,충남 홍성군 홍성읍 학계리590-4
168,신암,Sinam,新 岩,경북 김천시 봉산면 신암1길 50-69
169,신탄리,Sintan-ri,新炭里,경기도 연천군 신서면 고대산길 4 
170,신탄진,Sintanjin,新灘津,대전광역시 대덕구 신탄진로 807 
171,신태인,Sintaein,新泰仁,전북 정읍시 신태인읍 신태인리 132-2
172,심천,Simcheon,深 川,충북 영동군 심천면 심천리 30
173,아산,Asan,牙 山,충남 아산시 배방면 장재리419-1
174,아우라지,Auraji,아우라지,강원도 정선군 북면 여량3리 
175,아포,Apo,牙 浦,경북 김천시 아포읍 국사길 140-19
176,아화,Ahwa,阿火,경북 경주시  서면 아화1길 57
177,안강,Angang,安 康,경북 경주시 안강읍 비화원로 15-1(안강1리 433-1번지)
178,안동,Andong,安東,경북 안동시 경동로 684(우)36706
179,안평,Anpyeong,安平,전라남도 장성군 장성읍 안평리
180,압록,Amnok,鴨 綠,전남 곡성군 오곡면 압록리 1
